gene_id,SRR14801001,SRR14801002,SRR14801003,SRR14801004,SRR14801005,SRR14801006,SRR14801007,SRR14801008,SRR14801009,SRR14801010
ENSG00000141510,142,138,151,145,890,920,875,910,1950,1870
ENSG00000171862,2890,3010,2750,2940,580,540,610,555,180,165
ENSG00000078237,45,52,48,50,320,340,305,330,720,695
ENSG00000136997,1200,1250,1180,1230,2800,2950,2700,2850,5400,5200
ENSG00000100342,380,400,360,390,95,88,102,91,32,28
ENSG00000105976,560,590,530,570,1400,1450,1350,1420,2800,2700
ENSG00000197386,210,225,198,215,680,710,655,695,1450,1390
ENSG00000149925,95,102,88,98,280,295,268,285,580,560
ENSG00000169715,1850,1920,1780,1890,3600,3750,3450,3620,7200,6950
ENSG00000196305,320,338,305,325,120,112,128,118,45,41
